Model,x3_FilterCutoff,x24_Osc2Waveform,x20_Osc2Tune,x26_Lfo1Waveform,x28_Lfo1Rate,x30_Lfo1Amount,x27_Lfo2Waveform,x29_Lfo2Rate,x31_Lfo2Amount
Flow,0.346666667,0.25,0.5,0.6,0.06,0.808,0,0,0.5
GT,0.346666667,0.25,0.5,0.6,0.132,0.808,0,0,0.5
IS,0.346666667,0.25,0.5,0.6,0.24,0.808,0,0,0.5
IS2,0.346666667,0.25,0.5,0.6,0.132,0.808,0,0,0.5
IS2xITF,0.346666667,0.25,0.5,0.6,0.24,0.808,0,0,0.5
