,UID,min,max,mean,std
0,0,-120.0,-23.153682708740234,-99.35752868652344,20.308915699385963
1,1,-120.0,-23.96441650390625,-78.37364196777344,20.608433954302015
2,2,-120.0,-23.75042152404785,-77.51314544677734,20.396976531126572
3,3,-120.0,-28.824142456054688,-106.93949127197266,17.94473939278584
4,4,-120.0,-22.112638473510742,-99.43362426757812,20.097586020892845
5,5,-120.0,-16.397254943847656,-93.82383728027344,19.152770381363894
6,6,-120.0,-19.376785278320312,-90.3672866821289,19.214413732101207
7,7,-120.0,-19.5379638671875,-96.9654769897461,20.672693583801934
8,8,-120.0,-26.94869613647461,-88.05211639404297,23.62629946409694
9,9,-120.0,-25.626232147216797,-87.8956069946289,20.490853851236515
10,10,-120.0,-19.599172592163086,-103.26324462890625,18.380074766918113
11,11,-120.0,-27.389259338378906,-98.33700561523438,20.017371453617713
12,12,-120.0,-19.149484634399414,-103.4426040649414,18.860438104356994
13,13,-120.0,-23.958877563476562,-83.15890502929688,21.75191866425056
14,14,-120.0,-31.74536895751953,-102.1866455078125,23.43812759576397
15,15,-120.0,-31.368637084960938,-108.9814224243164,19.032446211379728
16,16,-120.0,-31.83077621459961,-109.36054229736328,16.452933025055234
17,17,-120.0,-34.77046585083008,-118.11141967773438,8.116872155357985
18,18,-120.0,-29.660110473632812,-118.5381851196289,7.109911284288924
19,19,-120.0,-29.660125732421875,-118.5381851196289,7.109924697584516
20,20,-120.0,-29.660110473632812,-118.5381851196289,7.109911284288924
21,21,-120.0,-27.58509635925293,-84.58494567871094,22.40404138892447
22,22,-120.0,-38.29521942138672,-93.42615509033203,21.20581703272455
23,23,-120.0,-22.100217819213867,-102.51972961425781,21.970667618342944
24,24,-120.0,-21.680908203125,-94.39729309082031,22.51407640731925
25,25,-120.0,-22.040559768676758,-92.99833679199219,23.05543273321117
26,26,-120.0,-26.030637741088867,-101.0206527709961,20.070396129156247
27,27,-120.0,-28.026826858520508,-111.58195495605469,14.328906654660319
28,28,-120.0,-23.896387100219727,-105.01576232910156,18.03704159181227
29,29,-120.0,-25.088359832763672,-116.78565216064453,10.91913043070706
30,30,-120.0,-26.211437225341797,-94.47260284423828,20.844504003884783
31,31,-120.0,-21.325904846191406,-75.70513153076172,26.712703765820276
32,32,-120.0,-28.147823333740234,-78.17969512939453,29.72717743286436
33,33,-120.0,-29.998306274414062,-106.77706909179688,15.72565965102771
34,34,-120.0,-24.543598175048828,-84.6448974609375,24.94536999875929
35,35,-120.0,-25.994457244873047,-80.98848724365234,23.95239240766528
36,36,-120.0,-19.186500549316406,-59.13364028930664,15.984071432234694
37,37,-120.0,-25.69091796875,-94.46739959716797,20.15565194122436
38,38,-120.0,-25.05031394958496,-96.3846664428711,22.2467395236604
39,39,-120.0,-22.35030746459961,-94.33931732177734,22.769194501820188
40,40,-120.0,-22.789289474487305,-106.8214340209961,14.985074564939504
41,41,-120.0,-23.74890899658203,-89.02067565917969,25.368609445825836
42,42,-120.0,-21.365516662597656,-102.33651733398438,16.536709725779414
43,43,-120.0,-25.57971954345703,-85.12921142578125,24.148999862021977
44,44,-120.0,-25.31292152404785,-82.4284896850586,21.43258815357906
45,45,-120.0,-27.452518463134766,-90.18582153320312,21.71579973779352
46,46,-120.0,-27.452518463134766,-88.90360260009766,21.186104247444685
47,47,-120.0,-24.34663963317871,-98.91918182373047,23.495942759801636
48,48,-120.0,-24.34663963317871,-98.91918182373047,23.495942759801636
49,49,-120.0,-29.6071720123291,-104.60822296142578,19.68315381714661
50,50,-120.0,-25.29314422607422,-105.25743865966797,16.089194591936153
51,51,-120.0,-24.33779525756836,-99.48956298828125,19.278838515376208
52,52,-120.0,-18.324649810791016,-100.75043487548828,21.223832118745367
53,53,-120.0,-24.686290740966797,-112.2606201171875,12.874168591367184
54,54,-120.0,-19.94464874267578,-96.34358215332031,22.543034068416027
55,55,-120.0,-18.653465270996094,-106.62969207763672,17.545557504244933
56,56,-120.0,-17.634525299072266,-100.1909408569336,20.220238938848883
57,57,-120.0,-24.227340698242188,-91.154052734375,27.735722898583898
58,58,-120.0,-27.386367797851562,-94.23368835449219,22.60815072056771
59,59,-120.0,-25.441865921020508,-88.62395477294922,26.61773668533822
60,60,-120.0,-14.846418380737305,-106.84114074707031,18.139233702568756
61,61,-120.0,-15.929220199584961,-93.77233123779297,22.419745516255794
62,62,-120.0,-18.324649810791016,-100.75043487548828,21.223832118745367
63,63,-120.0,-24.03530502319336,-94.57965087890625,22.332766093931355
64,64,-120.0,-22.44890594482422,-81.01885223388672,17.426811415273754
65,65,-120.0,-26.24042510986328,-87.20316314697266,25.17979051910356
66,66,-120.0,-26.094377517700195,-86.76216125488281,26.09104706247732
67,67,-120.0,-23.211631774902344,-93.12274169921875,18.219227387077403
68,68,-120.0,-27.481632232666016,-85.50603485107422,20.999054660409342
69,69,-120.0,-28.643692016601562,-98.84857177734375,21.411875543880797
70,70,-120.0,-29.93116569519043,-82.04296875,25.262961507335078
71,71,-120.0,-22.10540008544922,-92.2816390991211,20.94407764566715
72,72,-120.0,-28.024301528930664,-81.0169677734375,18.558741333474437
73,73,-120.0,-28.752037048339844,-112.34649658203125,16.903023064549817
74,74,-120.0,-28.81048011779785,-108.46141815185547,19.806406329504934
75,75,-120.0,-26.585330963134766,-101.40531158447266,17.216490997176496
76,76,-120.0,-26.585330963134766,-101.92481231689453,17.157770808618867
77,77,-120.0,-25.443004608154297,-107.60232543945312,17.308454020114166
78,78,-120.0,-24.717092514038086,-89.6311264038086,22.32237696087927
79,79,-120.0,-43.89012145996094,-109.55192565917969,15.622979849876542
80,80,-120.0,-29.083698272705078,-97.1554183959961,21.443259663814306
81,81,-120.0,-27.911270141601562,-116.26911163330078,10.787941268789316
82,82,-120.0,-22.530467987060547,-88.86888122558594,19.933829899517317
83,84,-120.0,-24.71441650390625,-119.17498779296875,5.390804918023335
84,85,-120.0,-28.65988540649414,-98.63578033447266,20.00404774713186
85,86,-120.0,-25.749366760253906,-109.0865707397461,17.436147986060362
86,87,-120.0,-20.6870059967041,-99.35619354248047,16.937240542293186
87,88,-120.0,-20.6870059967041,-99.35619354248047,16.937240542293186
88,89,-120.0,-22.668964385986328,-101.15599822998047,20.736971154347735
89,90,-120.0,-25.691844940185547,-101.93712615966797,21.16362558380682
90,91,-120.0,-25.691844940185547,-101.93712615966797,21.16362558380682
91,92,-120.0,-25.691844940185547,-101.93712615966797,21.16362558380682
92,93,-120.0,-28.303627014160156,-117.39899444580078,11.630886761355248
93,94,-120.0,-28.602087020874023,-105.21011352539062,19.261163026230967
94,95,-120.0,-28.153072357177734,-87.23391723632812,24.714285311080715
95,96,-120.0,-37.758949279785156,-94.65562438964844,20.344037266356988
96,97,-120.0,-30.848819732666016,-99.46360778808594,19.975833024665
97,98,-120.0,-23.68543815612793,-97.05657196044922,21.09630699201099
98,99,-120.0,-28.235891342163086,-97.9198226928711,20.65329867933669
99,100,-120.0,-25.838943481445312,-105.34292602539062,19.163619797169552
100,101,-120.0,-26.188871383666992,-92.53189086914062,19.53840962523802
101,102,-120.0,-23.708084106445312,-95.16234588623047,18.774241328244713
102,103,-120.0,-23.965158462524414,-91.37507629394531,18.964632545811593
103,104,-120.0,-21.552675247192383,-89.911865234375,23.831217780843026
104,105,-120.0,-30.77159881591797,-100.41349792480469,19.555745576648153
105,106,-120.0,-26.0939998626709,-88.64521026611328,20.437352917809815
106,107,-120.0,-26.090070724487305,-93.57231903076172,19.691911863053463
107,108,-120.0,-27.097204208374023,-107.86642456054688,18.872058765560826
108,109,-120.0,-30.879716873168945,-99.16484832763672,20.412294669674957
109,110,-120.0,-22.146320343017578,-89.95767211914062,24.466886602897855
110,111,-120.0,-19.775127410888672,-91.26039123535156,22.573426873872698
111,112,-120.0,-25.567779541015625,-66.68473815917969,18.04449473615715
112,113,-120.0,-23.48274040222168,-93.78958892822266,19.26940257216817
113,114,-120.0,-31.55280876159668,-102.33641052246094,17.71402673488054
114,115,-120.0,-30.85892105102539,-104.94194030761719,16.9326281983949
115,116,-120.0,-16.159976959228516,-117.9632339477539,8.528432080257108
116,117,-120.0,-34.379608154296875,-118.95096588134766,6.126152085924966
117,118,-120.0,-28.14933967590332,-101.13914489746094,24.38051319862084
118,119,-120.0,-25.85038948059082,-96.66011047363281,19.38644523973395
119,120,-120.0,-29.53337860107422,-117.10841369628906,9.625753794295719
120,121,-120.0,-23.52509307861328,-84.48556518554688,25.593642685214576
121,122,-120.0,-25.296432495117188,-84.54888916015625,26.11354273663021
122,123,-120.0,-23.349702835083008,-107.9363784790039,16.523571401644208
123,124,-120.0,-23.004364013671875,-114.44676208496094,11.460712495661129
124,125,-120.0,-21.500425338745117,-101.5282211303711,19.134010336636177
125,126,-120.0,-31.55564308166504,-90.5918197631836,23.76629272566243
126,127,-120.0,-30.69046401977539,-89.4953842163086,22.63895083095863
127,128,-120.0,-29.884498596191406,-107.71369934082031,17.068757974126203
128,129,-120.0,-20.772891998291016,-100.66468811035156,21.001762679464104
129,130,-120.0,-26.420852661132812,-107.58914184570312,17.247759245032654
130,131,-120.0,-25.859722137451172,-111.64002990722656,15.865541538983008
131,132,-120.0,-24.759014129638672,-98.69386291503906,19.576491352432768
132,133,-120.0,-24.3570499420166,-112.31100463867188,14.993195579871859
133,134,-120.0,-23.614723205566406,-84.54922485351562,21.745026820085783
134,135,-120.0,-27.973251342773438,-78.48229217529297,19.027020966390634
135,136,-120.0,-22.384700775146484,-78.30236053466797,22.202858350791516
136,137,-120.0,-20.104711532592773,-85.1922836303711,19.11506823791729
137,138,-120.0,-25.83621597290039,-83.32193756103516,19.93123324929721
138,139,-120.0,-16.873300552368164,-94.33605194091797,20.622906942802327
139,140,-120.0,-24.047191619873047,-101.7577896118164,17.20145740100966
140,141,-120.0,-19.107898712158203,-84.19937896728516,19.548194993150503
141,142,-120.0,-19.303110122680664,-77.6667251586914,20.40941124537434
142,143,-120.0,-35.44289779663086,-109.51693725585938,14.116770819978239
143,144,-120.0,-14.31631088256836,-111.31564331054688,13.964097445093065
144,145,-120.0,-16.886598587036133,-111.69879913330078,13.463220297582968
145,146,-120.0,-17.1558837890625,-110.31917572021484,13.546695906039345
146,147,-120.0,-30.38761329650879,-117.81978607177734,9.040672798439147
147,148,-120.0,-30.597917556762695,-113.22925567626953,13.232553187770964
148,149,-120.0,-23.946556091308594,-100.33934020996094,20.265232714736385
149,150,-120.0,-35.59253692626953,-105.03701782226562,17.373460440728177
150,151,-120.0,-23.283023834228516,-102.4082260131836,18.092607267725143
151,152,-120.0,-27.818599700927734,-98.76077270507812,19.855708134131415
152,153,-120.0,-30.69464683532715,-118.50590515136719,8.23623201975884
153,154,-120.0,-25.616031646728516,-118.24113464355469,8.235146300007033
154,155,-120.0,-30.584335327148438,-118.58153533935547,7.986100997549831
155,156,-120.0,-28.670833587646484,-117.92977142333984,9.360974616147624
156,157,-120.0,-30.584335327148438,-118.58153533935547,7.986100997549831
157,158,-120.0,-30.584335327148438,-118.58153533935547,7.986100997549831
158,159,-120.0,-28.6784725189209,-117.92134094238281,9.405365049993158
159,160,-120.0,-29.67961883544922,-103.22791290283203,20.698324915240725
160,161,-120.0,-26.893184661865234,-108.07901000976562,16.86120584214462
161,162,-120.0,-24.399337768554688,-104.5721664428711,18.149572513474663
162,163,-120.0,-29.47881507873535,-94.8196792602539,21.55562900036931
