Model,x3_FilterCutoff,x24_Osc2Waveform,x20_Osc2Tune,x26_Lfo1Waveform,x28_Lfo1Rate,x30_Lfo1Amount,x27_Lfo2Waveform,x29_Lfo2Rate,x31_Lfo2Amount
Flow,0.86,0.75,0.25,0,0.06,0.904,0,0,0.5
GT,0.86,0.75,0.25,0.2,0.132,0.968,0,0,0.5
IS,0.86,0.75,0.25,0.4,0.132,0.968,0,0,0.5
IS2,0.86,0.75,0.25,0.2,0.132,0.968,0,0,0.5
IS2xITF,0.86,0.75,0.25,0.2,0.492,0.968,0,0,0.5
