,GT,Flow,IS,IS2noITF,IS2
osc1_wave,sawtooth,sawtooth,sawtooth,sawtooth,sawtooth
osc1_freq,739.9888,739.9888,739.9888,739.9888,739.9888
osc1_mod_index,0.2842,0.2842,0.2842,0.2842,0.2842
lfo1_freq,6.0,6.0,6.0,6.0,6.0
lfo1_wave,square,square,square,square,square
am_mod_wave,triangle,none,square,square,square
am_mod_freq,4.0,1.0,6.0,4.0,4
am_mod_amount,0.0,0.0,0.5,0.5,0.0
filter_freq,1958.9333,1958.9333,1958.9333,1958.9333,1958.9333
