,GT,Flow,IS,IS2noITF,IS2
osc1_wave,square,square,square,square,square
osc1_freq,622.254,622.254,622.254,622.254,622.254
osc1_mod_index,0.3,0.2842,0.3,0.3,0.3
lfo1_freq,9.5,9.5,9.5,9.5,9.5
lfo1_wave,triangle,triangle,sine,sine,triangle
am_mod_wave,square,square,square,square,square
am_mod_freq,1.0,1.0,1.0,1.0,1
am_mod_amount,1.0,1.0,1.0,1.0,1.0
filter_freq,1000.0,1000.0,1000.0,1000.0,1000.0
