Model,x3_FilterCutoff,x24_Osc2Waveform,x20_Osc2Tune,x26_Lfo1Waveform,x28_Lfo1Rate,x30_Lfo1Amount,x27_Lfo2Waveform,x29_Lfo2Rate,x31_Lfo2Amount
Flow,0.953333333,0.25,0.875,0,0.312,0.904,0,0,0.5
GT,1,0.25,0.875,0,0.312,0.904,0,0,0.5
IS,0.86,0.25,0.875,0.2,0.312,0.904,0,0,0.5
IS2,1,0.25,0.875,0,0.312,0.904,0,0,0.5
IS2xITF,0.86,0.25,0.875,0,0.312,0.904,0,0,0.5
