,GT,Flow,IS,IS2noITF,IS2
osc1_wave,sawtooth,sawtooth,sawtooth,sawtooth,sawtooth
osc1_freq,466.1638,440.0,466.1638,466.1638,466.1638
osc1_mod_index,0.3,0.2842,0.3,0.3,0.3
lfo1_freq,5.5,5.5,5.5,5.5,5.5
lfo1_wave,sawtooth,sawtooth,sawtooth,sawtooth,sawtooth
am_mod_wave,triangle,sine,triangle,sine,triangle
am_mod_freq,6.0,6.0,6.0,6.0,6
am_mod_amount,0.5,0.5,0.5,0.5,0.5
filter_freq,3397.3333,3397.3333,3397.3333,3397.3333,3397.3333
