Model,x3_FilterCutoff,x24_Osc2Waveform,x20_Osc2Tune,x26_Lfo1Waveform,x28_Lfo1Rate,x30_Lfo1Amount,x27_Lfo2Waveform,x29_Lfo2Rate,x31_Lfo2Amount
Flow,0.72,0.5,0.875,0.4,0.492,0.648,0,0,0.5
GT,0.766666667,0.5,0.875,0.4,0.492,0.648,0,0,0.5
IS,0.906666667,0.5,0.875,0.4,0.492,0.648,0,0,0.5
IS2,0.766666667,0.5,0.875,0.4,0.492,0.648,0,0,0.5
IS2xITF,0.953333333,0.5,0.875,0.4,0.492,0.648,0,0,0.5
