,GT,Flow,IS,IS2noITF,IS2
osc1_wave,sine,sine,sine,sine,sine
osc1_freq,659.2551,659.2551,659.2551,659.2551,659.2551
osc1_mod_index,0.0632,0.0632,0.0632,0.0632,0.0632
lfo1_freq,13.0,13.0,13.0,13.0,13.0
lfo1_wave,sawtooth,sawtooth,sawtooth,sawtooth,sawtooth
am_mod_wave,triangle,sine,triangle,sine,triangle
am_mod_freq,4.0,4.0,4.0,4.0,4
am_mod_amount,0.25,0.25,0.25,0.25,0.25
filter_freq,8192.0,8192.0,8192.0,8192.0,8192.0
