,GT,Flow,IS,IS2noITF,IS2
osc1_wave,sawtooth,sawtooth,sawtooth,sawtooth,sawtooth
osc1_freq,739.9888,739.9888,739.9888,739.9888,739.9888
osc1_mod_index,0.2053,0.2053,0.2053,0.2053,0.2053
lfo1_freq,12.0,12.0,12.0,12.0,12.0
lfo1_wave,square,square,square,square,square
am_mod_wave,triangle,sine,triangle,sine,triangle
am_mod_freq,3.0,3.0,3.0,3.0,3
am_mod_amount,0.25,0.25,0.25,0.25,0.25
filter_freq,8192.0,8192.0,8192.0,8192.0,8192.0
