Model,x3_FilterCutoff,x24_Osc2Waveform,x20_Osc2Tune,x26_Lfo1Waveform,x28_Lfo1Rate,x30_Lfo1Amount,x27_Lfo2Waveform,x29_Lfo2Rate,x31_Lfo2Amount
Flow,0.486666667,0.75,0.125,0,0.528,0.68,0,0,0.5
GT,0.533333333,0.75,0.125,0.2,0.528,0.68,0,0,0.5
IS,0.393333333,0.75,0.125,0.2,0.528,0.68,0,0,0.5
IS2,0.533333333,0.75,0.125,0.2,0.528,0.68,0,0,0.5
IS2xITF,0.393333333,0.75,0.125,0.2,0.528,0.68,0,0,0.5
